language_1,language_2,similarity,feature_set
eng,fra,0.7408677865766362,inventory_knn
eng,deu,0.7627700713964738,inventory_knn
eng,spa,0.6381792281739725,inventory_knn
eng,ita,0.6999658228156915,inventory_knn
eng,nld,0.7223460919122203,inventory_knn
eng,por,0.7867372576486601,inventory_knn
eng,pol,0.6528124384711251,inventory_knn
eng,swe,0.6797294208444249,inventory_knn
eng,dan,0.7753617031753556,inventory_knn
eng,nor,0.7105597124064275,inventory_knn
eng,fin,0.6999658228156915,inventory_knn
eng,ell,0.6474962060880324,inventory_knn
eng,ron,0.7341169790488018,inventory_knn
eng,mlt,0.6837634587578276,inventory_knn
eng,hun,0.7402645090373983,inventory_knn
eng,ces,0.6650266477822089,inventory_knn
eng,slk,0.7065555740497552,inventory_knn
eng,bul,0.6837634587578276,inventory_knn
eng,hrv,0.6966731912120169,inventory_knn
eng,lit,0.7462025072446365,inventory_knn
eng,lav,0.7521398046336104,inventory_knn
eng,est,0.6693419514856722,inventory_knn
eng,isl,0.7402645090373983,inventory_knn
eng,zho,0.6972770512466954,inventory_knn
eng,ara,0.708063531883794,inventory_knn
eng,tur,0.6658003028611833,inventory_knn
eng,hin,0.7090909090909091,inventory_knn
eng,ben,0.7437279832918171,inventory_knn
eng,jpn,0.6538852975902519,inventory_knn
eng,kor,0.709361757634356,inventory_knn
eng,rus,0.6474962060880324,inventory_knn
eng,urd,0.7156264473321347,inventory_knn
eng,vie,0.7474003947662271,inventory_knn
eng,tha,0.7490253407188311,inventory_knn
eng,ind,0.7557086549031783,inventory_knn
eng,fas,0.7282190812544191,inventory_knn
fra,deu,0.8353058416272472,inventory_knn
fra,spa,0.6268906712869723,inventory_knn
fra,ita,0.7798989061877764,inventory_knn
fra,nld,0.849056603773585,inventory_knn
fra,por,0.8214799971933826,inventory_knn
fra,pol,0.6864677122242308,inventory_knn
fra,swe,0.7309043957071792,inventory_knn
fra,dan,0.7898556996382478,inventory_knn
fra,nor,0.6666969030395271,inventory_knn
fra,fin,0.8244645579699349,inventory_knn
fra,ell,0.6124857016610091,inventory_knn
fra,ron,0.7698352728755214,inventory_knn
fra,mlt,0.7197633633294866,inventory_knn
fra,hun,0.879786164134727,inventory_knn
fra,ces,0.7226220034834321,inventory_knn
fra,slk,0.7661997093507438,inventory_knn
fra,bul,0.7197633633294866,inventory_knn
fra,hrv,0.7325896743930082,inventory_knn
fra,lit,0.7384328126972182,inventory_knn
fra,lav,0.7661997093507438,inventory_knn
fra,est,0.7698352728755213,inventory_knn
fra,isl,0.77504971602345,inventory_knn
fra,zho,0.710311395183256,inventory_knn
fra,ara,0.7012634122382535,inventory_knn
fra,tur,0.6570510502689108,inventory_knn
fra,hin,0.7223460919122202,inventory_knn
fra,ben,0.6757246285173466,inventory_knn
fra,jpn,0.6661085105134554,inventory_knn
fra,kor,0.7452039410922893,inventory_knn
fra,rus,0.7067142711473182,inventory_knn
fra,urd,0.6916189900468546,inventory_knn
fra,vie,0.681227314745732,inventory_knn
fra,tha,0.7630270261187351,inventory_knn
fra,ind,0.7478399793647922,inventory_knn
fra,fas,0.7418318309487704,inventory_knn
deu,spa,0.5498051602938211,inventory_knn
deu,ita,0.7341303483857977,inventory_knn
deu,nld,0.8741572761215377,inventory_knn
deu,por,0.7838801471566832,inventory_knn
deu,pol,0.6184165460191408,inventory_knn
deu,swe,0.7921180343813392,inventory_knn
deu,dan,0.9174634218511291,inventory_knn
deu,nor,0.7256297000112808,inventory_knn
deu,fin,0.8029550685469662,inventory_knn
deu,ell,0.6305926250944657,inventory_knn
deu,ron,0.7473028425354332,inventory_knn
deu,mlt,0.6693280212272604,inventory_knn
deu,hun,0.7763959670647564,inventory_knn
deu,ces,0.7439848879604435,inventory_knn
deu,slk,0.741041737787324,inventory_knn
deu,bul,0.7171371656006361,inventory_knn
deu,hrv,0.7071067811865476,inventory_knn
deu,lit,0.7155417527999327,inventory_knn
